pl_name,hostname,sy_dist,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_lum,st_rad,st_mass,st_age,st_spectype,discoverymethod,disc_year,pl_controv_flag
HIP 12961 b,HIP 12961,23.37100000,13.20000000,,57.43500000000,0.2500000000,,3901.00,-1.00302,0.650000,0.690000,,M0,Radial Velocity,2010,0
HD 141004 b,HD 141004,11.81480000,3.77000000,,15.50830000000,0.1238000000,,5885.38,0.34600,1.389372,1.051904,6.3200,G0Vvar,Radial Velocity,2021,0
HD 189567 c,HD 189567,17.90550000,2.54000000,,33.68800000000,0.1970000000,,5726.00,0.32428,1.040000,0.830000,11.0000,G3 V,Radial Velocity,2021,0
BD+37 3172 b,BD+37 3172,454.25100000,12.40000000,,1887.76000000000,4.6500000000,,4500.00,2.84000,50.240000,3.750000,,,Radial Velocity,2023,0
Kepler-95 b,Kepler-95,445.65600000,3.42000000,1.30000000000000e+01,11.52310000000,0.1023200000,927.00,5699.00,0.28105,1.410000,1.080000,5.6300,,Transit,2014,0
Kepler-1670 b,Kepler-1670,2065.98000000,3.35648010,,20.49980000000,0.1528000000,731.00,5838.00,0.38280,1.518890,1.050000,0.3000,,Transit,2020,0
Kepler-1308 b,Kepler-1308,112.70500000,0.52000000,,2.10433811900,0.0250000000,662.00,3468.00,-1.50254,0.340000,0.350000,3.7200,,Transit,2016,0
Kepler-404 c,Kepler-404,812.52400000,1.72000000,,14.75116600000,0.1180000000,678.00,5654.00,-0.33704,0.884000,0.860000,1.3500,,Transit,2014,0
HD 120084 b,HD 120084,103.04400000,12.70000000,2.03410180480000e+03,2142.00000000000,4.2100000000,,4879.00,1.73783,10.370000,2.160000,1.0200,G7 III,Radial Velocity,2013,0
HD 14067 b,HD 14067,142.02400000,12.20000000,4.86277462710000e+03,2744.00000000000,5.1500000000,,4815.00,1.89800,12.400000,2.400000,0.6900,G9 III,Radial Velocity,2014,0
HD 208897 b,HD 208897,67.48720000,13.70000000,,358.27000000000,1.0630000000,,4860.00,1.09000,4.980000,1.250000,,K0,Radial Velocity,2017,0
Kepler-1400 b,Kepler-1400,752.23700000,1.62000000,,9.06689421000,0.0771000000,725.00,5044.00,-0.57763,0.780000,0.830000,4.5700,,Transit,2016,0
